pdf_url,year,journal,Answer,id,page
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824615_wo_cover_page-8.pdf,1941,JPE,1.0,1824615,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816429_wo_cover_page-10.pdf',1941,AER,1.0,1816429,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816429_wo_cover_page-15.pdf',1941,AER,1.0,1816429,15
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816429_wo_cover_page-17.pdf',1941,AER,1.0,1816429,17
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1816429_wo_cover_page-18.pdf',1941,AER,1.0,1816429,18
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967598_wo_cover_page-7.pdf',1941,RES,1.0,2967598,7
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824348_wo_cover_page-4.pdf,1941,JPE,1.0,1824348,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967636_wo_cover_page-3.pdf',1941,RES,1.0,2967636,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967636_wo_cover_page-4.pdf',1941,RES,1.0,2967636,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1804231_wo_cover_page-6.pdf',1941,AER,1.0,1804231,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1804231_wo_cover_page-7.pdf',1941,AER,1.0,1804231,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1804231_wo_cover_page-9.pdf',1941,AER,1.0,1804231,9
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1804231_wo_cover_page-10.pdf',1941,AER,1.0,1804231,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1804231_wo_cover_page-11.pdf',1941,AER,1.0,1804231,11
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824618_wo_cover_page-1.pdf,1941,JPE,1.0,1824618,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1884123_wo_cover_page-7.pdf',1941,QJE,0,1884123,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967640_wo_cover_page-3.pdf',1941,RES,1.0,2967640,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967640_wo_cover_page-4.pdf',1941,RES,1.0,2967640,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967640_wo_cover_page-7.pdf',1941,RES,1.0,2967640,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967640_wo_cover_page-8.pdf',1941,RES,1.0,2967640,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883027_wo_cover_page-14.pdf',1941,QJE,1.0,1883027,14
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1883027_wo_cover_page-15.pdf',1941,QJE,1.0,1883027,15
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1885638_wo_cover_page-11.pdf',1941,QJE,1.0,1885638,11
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/366_wo_cover_page-1.pdf',1941,AER,1.0,366,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/366_wo_cover_page-2.pdf',1941,AER,1.0,366,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1805809_wo_cover_page-0.pdf',1941,AER,1.0,1805809,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1805809_wo_cover_page-1.pdf',1941,AER,1.0,1805809,1
